"","B cell","Basophil","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","T cell"
"Cd19",8.92065556523877,2.75074777180255,5.34354854557542,5.79594985315964,0,5.30237529746596,6.23430422957961,5.12217129827986
"Cd200r3",1.47970073985459,5.54983154813583,0,0,2.70594736231395,3.91499564524557,0,1.75441175771039
"Cd200r4",1.13264648763895,3.26243143449706,3.44638727081257,2.24394954374077,2.70594736231395,1.66304727616028,4.73953953783003,1.47530045647733
"Cd22",7.03335732956427,0,3.44638727081257,4.76332899645788,0,3.91499564524557,5.25334100962995,4.32128580280542
"Cd27",5.64087653478426,3.9379702621365,4.37864896392125,5.26187707212781,3.59092816755755,4.27933768169201,6.57418802912698,7.98765620748714
"Cd300ld",5.00034944775292,3.9379702621365,0,7.19711749828534,3.59092816755755,7.12596330177775,5.25334100962995,4.72897012778883
"Cd3d",7.26353727025163,3.26243143449706,4.94030632786083,6.84049334168563,2.70594736231395,6.30389945594247,7.30508458472395,9.66266045261944
"Cd3e",3.62407228800711,0,0,3.77668628155847,0,3.10164424924247,4.73953953783003,6.56633639801732
"Cd3g",6.7026631596686,3.9379702621365,5.34354854557542,5.85302743498386,0,5.32204531886594,7.30508458472395,9.19076987966851
"Cd4",3.12960251534975,0,5.91661853258584,0,0,1.66304727616028,1.94753258010587,5.3905835979831
"Cd40",5.37672791484875,0,0,4.91398953431125,4.13541876945631,1.39239185180557,2.74723392962003,2.18929666850891
"Cd5",2.19465995919626,0,0,2.24394954374077,0,1.66304727616028,2.74723392962003,5.17051946147828
"Cd6",3.47730814621982,0,0,3.99527493832709,0,2.79884474346089,4.57634937041645,6.62823188026063
"Cd7",4.19320281005332,5.02319433556088,9.53833301472942,5.17500776128387,5.8137457654895,3.91499564524557,8.3264294871223,6.98659323736606
"Cd79a",10.2955553876862,5.14502337300783,4.94030632786083,6.29880404692963,5.49821559855321,6.68428323890338,7.11001715741924,5.7015095699075
"Cd79b",10.0319290457807,4.74351311626598,6.13559500870398,7.20444686631313,5.66458969898141,6.72178795146763,7.82473149077758,6.96619520157855
"Cd83",6.4208026326628,0,4.94030632786083,4.8406250559938,2.70594736231395,3.18993161311906,4.39231742277876,3.87281414855924
"Cd8a",5.55198735384509,0,4.94030632786083,5.44628590611869,0,4.56997077583058,5.63143693052066,8.46080526091161
"Cd8b1",6.98663752204076,2.75074777180255,4.94030632786083,6.52639543124406,3.59092816755755,5.98406198384341,7.40574929758431,9.92028216647279
"Clec2g",0,0,0,0.805196813890195,0,0,0,0
"Clec4a3",4.60025868781767,1.95059140673861,6.49359787642797,9.28958817266653,7.00080929625336,4.91897949249899,5.14101230952707,4.2778082006552
"Clec4e",4.97321859120815,6.1825579883989,3.44638727081257,6.50280951070191,4.13541876945631,7.88327210600683,5.14101230952707,4.48316989615507
"Clec5a",3.12960251534975,7.40985287474539,4.37864896392125,5.26187707212781,6.6502980459787,6.87612446789434,1.94753258010587,1.12891602791321
"Cma1",4.23948111608495,0,0,3.51896035365275,0,2.55468861736944,8.42566550441689,3.54627621597719
"Ctsw",5.84921811127442,0,4.37864896392125,5.7161542926727,0,4.91897949249899,9.2448734712898,8.15018419706227
"Cxcl2",0.674734450076431,3.63938476725441,0,1.69695193703081,0,5.66782079624969,1.94753258010587,2.66476641147795
"Cxcl3",0,0,0,0,0,0,0,0
"Cxcr2",4.52752130180882,6.34392699889581,0,4.40458792023026,3.59092816755755,8.27508031360267,4.39231742277876,3.30773119000046
"Cxcr6",2.79971507737335,0,0,2.24394954374077,0,2.41513518658909,2.74723392962003,5.59925068084223
"Dpep2",2.37131364026104,0,4.37864896392125,5.83425136839729,4.52978644096093,0.624533108880708,0,1.98817896891149
"Ear1",1.75924605271053,1.95059140673861,4.37864896392125,0,3.59092816755755,5.74270812751496,0,0
"Ear2",4.23948111608495,6.77981811141087,4.94030632786083,8.50276789549918,7.33289581610316,7.20224323696083,5.35755200461808,4.08947602147011
"F630040K05Rik",0,0,0,0,0,0,0,0
"F730016J06Rik",0.674734450076431,3.63938476725441,3.44638727081257,1.99622118950051,0,4.15324323112606,0,0
"Fcer1a",0.674734450076431,6.00083943319059,0,0.805196813890195,0,5.37949570838639,0,0.672173496803554
"Fcer2a",7.69572113197751,1.95059140673861,0,5.49491685573895,0,4.66545140885902,6.23430422957961,5.14654790323304
"Fcgr4",4.09593951260851,5.36157935049781,4.37864896392125,6.78290763819024,0,6.26377910455855,4.88613203544172,3.54627621597719
"Fcmr",9.34115178866944,3.63938476725441,4.94030632786083,6.72292747323326,2.70594736231395,6.2739142750187,7.54468850373783,6.77617429465871
"Fcrl1",7.24096622212634,2.75074777180255,3.44638727081257,4.45462050334705,2.70594736231395,3.86223268746783,5.45473992331258,5.02032466203174
"G430095P16Rik",3.12960251534975,1.95059140673861,0,4.45462050334705,5.09377866262286,2.41513518658909,1.94753258010587,3.47106006719889
"Gapt",3.87921242169625,6.44227813378092,5.34354854557542,4.98380309855505,7.42853368964583,6.06800090970833,1.94753258010587,1.98817896891149
"Gm13986",0,2.75074777180255,0,0,2.70594736231395,2.08755478243132,0,0
"Gm20324",3.93652205945968,1.95059140673861,3.44638727081257,3.77668628155847,0,3.27312628692297,3.93411206434354,4.82271502067728
"Gm5544",0,0,0,0,0,0,0,0
"Gm8113",1.75924605271053,0,0,1.99622118950051,2.70594736231395,3.75053915044526,0,0
"Gm9733",2.52867717306707,4.39624901000793,0,6.94919641434265,4.83916898116688,5.01878036512903,3.25873426840017,1.47530045647733
"Gzma",6.03123451553846,2.75074777180255,4.94030632786083,6.64964552939506,2.70594736231395,4.81175822905654,12.9220268394059,7.44045640841171
"Gzmb",1.99331735132863,0,0,2.63962325616693,0,1.05895620969413,8.48439135877634,3.47106006719889
"H2-Eb2",5.26929816789039,0,0,2.63962325616693,0,1.39239185180557,3.25873426840017,2.18929666850891
"I830127L07Rik",6.78297770259007,10.8835995485012,6.32567280941286,8.91606688793935,10.7099739316783,10.2022949795813,6.88438859711367,5.24013311184965
"Ifi205",1.99331735132863,0,4.94030632786083,5.756603689841,3.59092816755755,0,1.94753258010587,2.18929666850891
"Ifitm6",6.75934928925988,10.7769113800019,8.31211913721593,9.8622435292438,8.25203809417317,10.9087317025673,6.73760951073164,6.2209200785404
"Il4",0.674734450076431,3.26243143449706,0,0,0,0,0,0
"Il9r",3.39791885874805,0,0,0.805196813890195,0,1.05895620969413,0,1.12891602791321
"Itga2b",1.13264648763895,3.9379702621365,3.44638727081257,2.45530878860708,0,3.00759981585816,0,1.12891602791321
"Itgam",4.60025868781767,8.69211836134288,6.78019054004498,7.57052510135979,7.06174040062687,8.58288915641724,6.95253326116423,3.21856503266174
"Itgax",2.19465995919626,1.95059140673861,5.91661853258584,4.72307036990868,3.59092816755755,3.00759981585816,6.88438859711367,2.79383723760097
"Izumo1r",3.39791885874805,1.95059140673861,0,1.31890583872114,0,1.39239185180557,3.25873426840017,4.85265684541799
"Klra13-ps",3.6922105139406,0,3.44638727081257,3.69578746705855,0,3.18993161311906,9.39935422730104,6.05054303415506
"Klra7",2.37131364026104,0,0,2.94980708630464,0,2.41513518658909,8.7176764230664,4.85265684541799
"Klra8",3.75727520096556,0,0,3.92602779320916,0,3.10164424924247,9.45327063401062,4.32128580280542
"Klrc1",3.02779722102158,1.95059140673861,0,2.80303547260073,0,1.39239185180557,7.11001715741924,4.08947602147011
"Klrd1",5.41755566146522,0,8.06784698337398,5.77641090176933,3.59092816755755,4.27933768169201,9.67620896606749,7.96041449901735
"Klre1",2.91825877944343,0,3.44638727081257,2.94980708630464,0,1.66304727616028,8.44944346402179,3.87281414855924
"Klrg1",1.75924605271053,0,0,3.31739233310668,0,1.66304727616028,8.73712660025319,4.40449727596443
"Klri2",2.67055174466659,0,3.44638727081257,2.24394954374077,0,1.05895620969413,7.42985503869741,2.79383723760097
"Klrk1",3.12960251534975,0,4.94030632786083,3.85328857313924,2.70594736231395,1.39239185180557,8.78463484555752,4.66290868275187
"Lck",7.17701088271,3.63938476725441,4.94030632786083,6.36570780915032,0,5.85498653554044,9.04087677903621,9.3356222784607
"Ly6g",4.91737652767716,9.40347600884886,5.34354854557542,4.68165599162866,6.87063719610169,9.84593681015342,3.25873426840017,1.47530045647733
"Lyz1",2.37131364026104,4.39624901000793,0,6.07718295309938,4.13541876945631,4.31903355081995,0,1.12891602791321
"Mcemp1",5.96391798391382,9.52628342479592,7.22414498590243,7.91682114262635,8.40095018032428,9.59421136430176,5.25334100962995,5.43083716943491
"Mfsd7a",1.13264648763895,0,0,4.76332899645788,5.09377866262286,1.05895620969413,0,0.672173496803554
"Mmp25",1.47970073985459,4.74351311626598,0,0,0,5.72803841576936,0,0
"Ms4a2",0.674734450076431,5.71633059328279,0,1.31890583872114,0,4.10863771681645,0,0.672173496803554
"Ms4a4b",7.52873773755589,3.9379702621365,6.49359787642797,7.54765537501123,5.8137457654895,6.28397874066005,10.76095750634,10.4985474048165
"Mzb1",8.69431583293035,2.75074777180255,5.34354854557542,5.08257072963109,2.70594736231395,4.86636471871583,5.71228133078561,4.62870783873986
"Ncr1",3.62407228800711,0,3.44638727081257,3.92602779320916,0,2.08755478243132,9.33698466919024,4.08947602147011
"Nkg7",7.67060663683766,7.95080862346928,6.49359787642797,9.43219856803155,6.80086415646931,8.09243647966976,11.6710987257485,9.52881637013617
"Nudt17",0.674734450076431,0,0,2.24394954374077,2.70594736231395,1.05895620969413,0,0.672173496803554
"Olr1",0.674734450076431,5.25736082416071,0,3.31739233310668,0,4.27933768169201,0,0
"Padi4",2.19465995919626,6.57827265487946,0,4.54976308845195,5.09377866262286,7.40951045853045,3.25873426840017,1.75441175771039
"Prf1",4.19320281005332,0,4.37864896392125,4.45462050334705,0,3.10164424924247,8.94377066130966,5.28474345399195
"Prg3",1.99331735132863,3.9379702621365,0,1.99622118950051,3.59092816755755,5.1997893030117,0,0
"Prss57",3.62407228800711,7.05316736574822,0,7.35034131562462,5.09377866262286,6.44513369555497,0,0.672173496803554
"Rab44",4.23948111608495,7.08396310996745,3.44638727081257,5.7161542926727,5.9489157173668,6.42708239789802,2.74723392962003,1.75441175771039
"Rasgrp4",4.91737652767716,7.40985287474539,6.64399902379701,6.78290763819024,6.87063719610169,7.6657516439496,4.57634937041645,4.66290868275187
"Retnlg",6.33814967632127,3.26243143449706,7.63676817228913,7.24054536385112,7.56106109761186,13.3954869937111,7.94669744547132,6.68758076197229
"Rgs18",3.75727520096556,6.23837736292839,6.49359787642797,4.91398953431125,5.31012316009295,5.75723017392189,2.74723392962003,1.47530045647733
"Sh2d1a",3.22469491319242,0,0,2.80303547260073,0,2.08755478243132,6.73760951073164,5.92933304968164
"Sh2d2a",4.60025868781767,0,3.44638727081257,2.94980708630464,2.70594736231395,3.18993161311906,7.60944260554845,6.13824520990118
"Siglecf",1.75924605271053,3.26243143449706,0,3.69578746705855,3.59092816755755,4.27933768169201,0,1.12891602791321
"Skint3",1.47970073985459,0,3.44638727081257,5.11404575612002,2.70594736231395,2.08755478243132,3.25873426840017,1.47530045647733
"Slamf8",2.67055174466659,1.95059140673861,3.44638727081257,5.85302743498386,4.13541876945631,1.39239185180557,3.63558857379112,1.12891602791321
"Spib",8.37481397805607,4.18523043637647,8.6331391104617,4.76332899645788,5.09377866262286,5.01878036512903,5.78883483408681,4.36349138806223
"Tal1",0.674734450076431,1.95059140673861,0,2.63962325616693,0,2.55468861736944,0,0.672173496803554
"Tarm1",2.52867717306707,2.75074777180255,0,2.24394954374077,0,5.48795758431752,0,1.98817896891149
"Tcf7",5.00034944775292,1.95059140673861,4.37864896392125,4.68165599162866,0,3.9658968198644,6.33985000288462,8.11046201118047
"Tgtp2",3.87921242169625,0,4.94030632786083,5.05039367344433,3.59092816755755,3.00759981585816,4.57634937041645,5.6849618741149
"Themis",2.67055174466659,1.95059140673861,0,3.20495853028906,0,2.08755478243132,3.63558857379112,5.3905835979831
"Tlr13",3.39791885874805,0,0,6.51465066978121,6.07249906871707,5.50526750139022,2.74723392962003,2.18929666850891
"Tlr5",0,0,3.44638727081257,0.805196813890195,0,0,0,0
"Tnfrsf13c",6.78297770259007,0,3.44638727081257,3.99527493832709,2.70594736231395,3.80746656415794,4.88613203544172,3.61776446105328
"Tnfrsf18",4.28432094504421,4.74351311626598,5.34354854557542,2.80303547260073,0,4.15324323112606,6.33985000288462,6.11372671111375
"Tnip3",0,0,3.44638727081257,2.63962325616693,0,1.39239185180557,0,1.12891602791321
"Tpsb2",0,0,0,0,0,0,0,0
"Tpsg1",0,0,0,0,0,0,0,0
"Trac",6.27289612133789,0,0,5.11404575612002,0,5.24170303842025,6.65821148275179,9.04925878255093
"Xlr4b",4.76751330565147,1.95059140673861,4.37864896392125,3.85328857313924,4.13541876945631,2.41513518658909,2.74723392962003,5.3905835979831
"Zap70",4.19320281005332,1.95059140673861,0,3.77668628155847,0,3.00759981585816,6.28804210073495,6.60202971848668
"9830107B12Rik",0,6.29211723603162,3.44638727081257,2.80303547260073,2.70594736231395,5.84142038663533,0,1.12891602791321
"A530030E21Rik",5.12884051769575,0,3.44638727081257,3.20495853028906,0,1.05895620969413,3.93411206434354,2.18929666850891
"A930002I21Rik",0,0,0,0.805196813890195,0,0,0,2.18929666850891
"Arhgef37",0.674734450076431,0,0,3.20495853028906,0,0,1.94753258010587,0.672173496803554
"Camp",3.62407228800711,15.7731649689011,5.34354854557542,7.16742189625266,4.52978644096093,14.0467895276885,0,3.0217749381831
"Cd40lg",0.674734450076431,0,0,0,0,0.624533108880708,1.94753258010587,1.47530045647733
"Cebpe",3.87921242169625,10.1602073492987,0,6.24295333511643,6.56868050176304,8.44840829877849,3.63558857379112,1.75441175771039
"Gfi1b",1.75924605271053,1.95059140673861,0,0.805196813890195,3.59092816755755,1.39239185180557,0,0
"Gm13814",1.13264648763895,0,0,1.31890583872114,0,0,0,0
"Gm16194",0,2.75074777180255,0,0,0,0.624533108880708,0,0
"Gm43291",6.50845624483328,2.75074777180255,3.44638727081257,3.51896035365275,0,2.55468861736944,4.18132976471456,3.0217749381831
"Ngp",4.56434835286052,16.1022744962907,0,5.99503827852725,3.59092816755755,14.665467709283,4.57634937041645,4.08947602147011
"Pax5",7.00014113332021,0,0,4.29899577630077,3.59092816755755,3.62946713452515,4.88613203544172,3.98520851480646
"Prg2",4.04473297902904,5.86558705198419,4.37864896392125,3.99527493832709,5.31012316009295,9.33820641737111,1.94753258010587,0.672173496803554
"5730522E02Rik",0,0,0,0,0,0,0,0
"Ccr6",4.14539066560302,0,0,2.45530878860708,0,0.624533108880708,0,2.79383723760097
"Clec4a4",0,0,0,2.94980708630464,2.70594736231395,1.05895620969413,1.94753258010587,0
"Ear6",1.75924605271053,2.75074777180255,3.44638727081257,1.69695193703081,3.59092816755755,7.07470683382588,2.74723392962003,0.672173496803554
"Epx",0,1.95059140673861,3.44638727081257,0.805196813890195,4.13541876945631,6.51516163876883,1.94753258010587,0.672173496803554
"Gzmk",0,0,0,0,0,0,2.74723392962003,1.98817896891149
"Tmigd3",0.674734450076431,0,4.37864896392125,0.805196813890195,0,1.05895620969413,0,0.672173496803554
"Tlr8",0,0,0,0,0,0,0,0.672173496803554
"4930430E12Rik",0,0,0,0,0,0,0,0
"Muc6",0,0,0,0,0,1.05895620969413,0,0
"Fer1l5",0,0,0,0,0,0,0,0
"Tph1",0,0,0,0,0,0,0,0
"Prr33",0,0,0,0,0,0,0,0
"Gm11695",0,0,0,0,0,0,0,0.672173496803554
"Gm6209",0,0,0,0,0,0.624533108880708,0,0
"Gm13817",0,0,0,0,0,0,0,0
"Gm8221",0,0,0,0,0,0,0,0
