"","GSM ID","Tissue","Disease","Mast cells","Neutrophils","Eosinophils","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells activated","Dendritic cells resting","B cells memory","B cells naive","Plasma cells","T cells CD4 naive","T cells CD4 memory","T cells follicular helper","Tregs","T cells CD4 activated","T cells CD8","T cells gamma delta","NK cells resting","NK cells activated"
"GSM988763","GSM988763","Visceral adipose tissue","Coronary and carotid artery disease",3.48,5.89,0,0.66,0,2.07,4.93,0.87,5.39,4.69,0,22.85,21.25,0,12.67,0,2.06,0,9.61,0,3.58
"GSM988766","GSM988766","Visceral adipose tissue","Coronary and carotid artery disease",8.17,15.79,0,18.81,0,1.44,17.51,0,1.62,5.6,0,11.63,0,3.32,0,3.13,0,8.71,0.62,3.66,0
"GSM988769","GSM988769","Visceral adipose tissue","Coronary and carotid artery disease",2.46,0,0,1.14,0,1.61,8.54,0,3.46,0.5,7.27,22.05,17.71,0,7.25,1.38,4.33,19.54,0,2.77,0
"GSM988777","GSM988777","Visceral adipose tissue","Coronary and carotid artery disease",7.83,0.6,0,0,0,4.35,12.01,0,8.37,7.33,0,19.14,3.91,3.46,7.51,5.85,0.39,9.62,8.84,0,0.79
"GSM988782","GSM988782","Visceral adipose tissue","Coronary and carotid artery disease",3.98,4.91,0.72,2,0,1.09,17.78,0,0.59,0,0.69,54.99,0.05,0,0.15,0,0,7.34,0.82,0,4.89
"GSM988790","GSM988790","Visceral adipose tissue","Coronary and carotid artery disease",7.98,0.65,0,0.27,0,1.12,9.73,0,6.77,3.49,0,37.9,0,0.48,4.78,0,0,20.27,4.29,0,2.27
"GSM988795","GSM988795","Visceral adipose tissue","Coronary and carotid artery disease",24.48,20.48,0,6.96,0,2.69,25.93,0,0.99,3.24,0,2.51,0,0,1.8,1.23,0.36,5.8,0,1.65,1.88
"GSM988798","GSM988798","Visceral adipose tissue","Coronary and carotid artery disease",2.59,0,0,0.32,0,2.06,9.59,0,3.17,2.01,0,29.21,8.19,1.23,19.78,0.74,0.36,20.76,0,0,0
"GSM988801","GSM988801","Visceral adipose tissue","Coronary and carotid artery disease",8.45,0,0,0,27.32,5.46,20.7,0,1.79,10.87,0,3.3,0,0,4.17,6.54,0,5.12,0,0,6.28
"GSM988806","GSM988806","Visceral adipose tissue","Coronary and carotid artery disease",2.26,0,0,0,0,1.28,12.83,0,2.79,7.29,0.04,22.47,6.96,5.07,8.85,8.41,0,16.76,4.99,0,0
"GSM988811","GSM988811","Visceral adipose tissue","Coronary and carotid artery disease",9.71,5.01,0,4,0,0.24,48.72,0.87,1.35,5.35,0,2.98,0,3.92,3.53,1.03,0,6.66,0,0,6.64
"GSM988814","GSM988814","Visceral adipose tissue","Coronary and carotid artery disease",5.06,1.83,0,1,0,1.07,13.9,0,6.69,3.16,0,41.31,0,0,3.91,1.36,0,18.6,0.95,0,1.15
"GSM988819","GSM988819","Visceral adipose tissue","Coronary and carotid artery disease",12.57,0,0,3.53,0,2.56,30.69,0,0,4.28,3.47,13.7,0,0,0.76,1.73,0,14.63,0.53,0,11.57
"GSM988824","GSM988824","Visceral adipose tissue","Coronary and carotid artery disease",2.84,0,0,2.02,0,4.72,23.12,0,2.07,20.99,0,18.83,0,1.6,0,2.12,0,11.98,4.63,0,5.08
"GSM988829","GSM988829","Visceral adipose tissue","Coronary and carotid artery disease",4.44,6.26,2.08,5.84,0,2.54,32.68,0.77,1.64,0.34,1.33,13.49,0,0.31,2.99,0,0,8.43,7.03,0,9.81
"GSM988834","GSM988834","Visceral adipose tissue","Coronary and carotid artery disease",11.21,1.9,0,0.77,14.63,3.78,30.86,0,0,3.7,3.15,9.54,0,0,3.39,3.07,0,10.3,1.71,0.03,1.96
"GSM988839","GSM988839","Visceral adipose tissue","Coronary and carotid artery disease",8.4,3.19,0,0,0,0.57,8.02,0.37,4.39,12.42,0,19.85,0,11.17,8.34,0.82,1.62,15.47,5.38,0,0
"GSM988842","GSM988842","Visceral adipose tissue","Coronary and carotid artery disease",4.82,0.28,0,0.85,0,1.13,4.12,0.33,5.1,18.46,0,22.21,8.69,0,10.28,2.13,0.8,16.65,4.03,0,0.12
"GSM988845","GSM988845","Visceral adipose tissue","Coronary and carotid artery disease",0.66,0,0,3.7,3.3,1.37,9.97,0.28,0,17.57,6.44,28.17,7.67,2.46,2.4,0.16,2.32,7.95,4.9,0.67,0
"GSM988850","GSM988850","Visceral adipose tissue","Coronary and carotid artery disease",1.91,0,0,0,0,2.64,7.78,0,7.29,11.91,0,19.41,23.94,0,7.39,4.44,3.24,6.32,3.73,0,0
"GSM988855","GSM988855","Visceral adipose tissue","Coronary and carotid artery disease",5.96,2.14,0,5.83,0,2.97,14.15,0,11.45,6.27,0,20.9,2.42,0,3.77,4.27,0,10.2,2.65,0,7.04
"GSM988860","GSM988860","Visceral adipose tissue","Coronary and carotid artery disease",1.94,0,0,0,1.02,2.76,3.77,0,8.6,9.3,0,19.51,12.23,0,16.63,5.68,1.2,16.54,0,0,0.81
"GSM988865","GSM988865","Visceral adipose tissue","Coronary and carotid artery disease",6.11,0.4,0,0,0,1.97,8.45,0,5.96,1.36,1.46,31.96,5.76,0,17.43,1.63,1.62,14.35,1.54,0,0
"GSM988870","GSM988870","Visceral adipose tissue","Coronary and carotid artery disease",13.24,2.77,0,9.57,0,0,24.02,1.94,0,0.4,0.85,1.66,0,0,7.63,0,0,13.24,13.65,0,11.02
"GSM988875","GSM988875","Visceral adipose tissue","Coronary and carotid artery disease",15.3,1.68,0,1.92,0,2.72,30.19,0,0.8,7.41,0,13.27,0,10.04,3.44,2.18,0,8.75,1.56,0,0.74
"GSM988878","GSM988878","Visceral adipose tissue","Coronary and carotid artery disease",12.77,11.34,2.93,16.16,0,0.31,14.41,0,1.33,8.14,0,5.09,5.06,0,2.58,0,0,1.57,8.07,0,10.23
"GSM988881","GSM988881","Visceral adipose tissue","Coronary and carotid artery disease",7.16,1.52,0,0.01,0,1.45,21.26,0,3.1,9.95,0,28.78,2,0,2.56,0.33,0,10.37,5.68,0,5.83
"GSM988886","GSM988886","Visceral adipose tissue","Coronary and carotid artery disease",6.04,13.79,0,2.45,0,1.23,30.19,0,0,4.24,2.73,15.93,0,6.56,2.95,0,0,8.87,3.26,0,1.76
"GSM988891","GSM988891","Visceral adipose tissue","Coronary and carotid artery disease",24.37,4.29,0,3.12,0,1.68,30.94,0.16,1.88,3.27,0,2.61,0,7.31,0,4.27,0,3.14,6.44,0,6.51
"GSM988894","GSM988894","Visceral adipose tissue","Coronary and carotid artery disease",7.84,6.29,0.63,8.89,0,0,32.88,0.95,1.2,1.64,1.59,9.82,0,1.59,1.52,0.92,0,6.23,4.47,0,13.54
"GSM988904","GSM988904","Visceral adipose tissue","Coronary and carotid artery disease",9.27,6.87,0.65,11.01,0,3.53,31.33,0,2.67,4.7,0,4.52,0,0,3.39,0,0,5.92,6.65,0,9.47
"GSM988907","GSM988907","Visceral adipose tissue","Coronary and carotid artery disease",5.56,2.59,0,0.3,0,1.55,10.39,0.11,5.13,3.52,0,24.86,16.59,0,13.22,0.75,0,9.44,3.46,0,2.53
"GSM988910","GSM988910","Visceral adipose tissue","Coronary and carotid artery disease",2.57,0.23,0,0.03,0,1.85,7.11,0,6.76,12.24,0,19.35,13.58,0,17.44,4.37,2.9,8.61,2.02,0.95,0
"GSM988915","GSM988915","Visceral adipose tissue","Coronary and carotid artery disease",15.61,13.41,0,17.64,2.44,0.24,27.54,0,0,1.98,0,14.67,0,0,0.49,1.07,0,3,0.01,1.9,0
"GSM988925","GSM988925","Visceral adipose tissue","Coronary and carotid artery disease",9.1,15.8,0,12.57,0.73,0,9.39,0.11,0,6.32,1.67,26.16,0,4.19,2.35,1.37,0.34,7.85,0,0,2.05
"GSM988928","GSM988928","Visceral adipose tissue","Coronary and carotid artery disease",8.11,0.05,0,0,0,1.94,4,0,7.76,21.8,0,16.31,1.28,9.43,6.54,4.7,1.4,16.52,0.15,0,0
"GSM988931","GSM988931","Visceral adipose tissue","Coronary and carotid artery disease",4.09,0,0,0,1.5,2.14,1.72,0.69,7.91,16.68,0,17.71,14.25,0,13.54,4.73,3.2,8.58,3.27,0,0
