,B cell,Basophil,Dendritic cell,Macrophage,Neutrophil,NK cell,T cell
Sh2d2a,6.221483338,0,6.092574902,5.47337229,4.886132035,9.879853493,9.045759661
Siglecf,2.834907227,0,2.981222793,2.046103514,0,0,1.807354922
Skint3,0,0,2.981222793,2.780004434,0,0,0
Slamf8,5.457620072,0,5.811789893,6.181823005,5.861530062,0,4.209453366
Spib,6.221483338,0,6.055656433,3.204134837,4.886132035,0,4
Tal1,0,0,1.445799753,2.509654215,4.886132035,0,1.807354922
Tarm1,0,0,3.266140317,2.695394412,4.886132035,0,0
Tcf7,2.834907227,0,3.266140317,2.695394412,4.886132035,5.902641123,6.383704292
Tgtp2,6.335472559,0,6.358158561,6.767935745,5.861530062,5.902641123,6.044394119
Themis,0,0,0,1.358928018,0,0,4.392317423
Tlr13,3.730089796,0,4.045900851,5.707413144,6.438197784,0,2.584962501
Tlr5,0,0,0,0.476367488,0,0,0
Tnfrsf13c,6.631679226,0,3.503962779,2.406971801,0,0,0
Tnfrsf18,3.730089796,0,4.747498523,3.141551507,0,6.890532527,7.060695932
Tnip3,4.985265729,0,6.967375346,4.636068588,0,0,2.584962501
Tpsb2,0,0,0,0.476367488,0,0,0
Xlr4b,2.834907227,8.968666793,3.708073043,2.695394412,0,5.902641123,4.832890014
Zap70,4.278349686,0,4.549286769,3.838148476,0,0,6.977279923
9830107B12Rik,0,0,1.445799753,0.833879911,4.886132035,0,0
A530030E21Rik,3.730089796,0,2.15324626,0.833879911,0,0,0
A930002I21Rik,2.834907227,0,0,0,0,0,0
Arhgef37,0,0,0,0.476367488,0,0,0
Camp,4.674679689,0,4.747498523,4.702608989,12.19436113,0,4.832890014
Cd40lg,0,0,1.445799753,0,0,5.902641123,3.459431619
Cebpe,0,0,0,0,4.886132035,0,0
Gfi1b,0,0,1.445799753,1.358928018,0,0,0
Gm13814,2.834907227,0,0,0,0,0,0
Gm43291,4.985265729,0,0,0.476367488,0,0,0
Ngp,6.221483338,0,5.282848776,5.030783688,12.55098721,0,4.700439718
Pax5,6.097709022,0,0,1.120158763,0,0,0
Prg2,4.674679689,0,2.981222793,3.756976488,10.56537413,0,3.459431619
Ccr6,3.730089796,0,2.15324626,0,0,0,1.807354922
Clec4a4,0,0,1.445799753,0.833879911,0,0,0
Ear6,0,0,0,1.902519018,7.168493046,0,0
Epx,0,0,0,0.476367488,7.429855039,0,2.584962501
Gzmk,0,0,0,1.358928018,0,0,2.584962501
Tmigd3,0,0,1.445799753,1.120158763,0,0,0
Tlr8,0,0,0,0.476367488,0,0,0
4930430E12Rik,0,0,0,1.902519018,0,0,0
Gm8221,0,0,0,0.476367488,0,0,0
Trac,5.457620072,0,5.672425342,5.064909292,5.861530062,9.050968965,8.909893084
Trbc,6.87730766,0,7.600681938,7.019220916,7.168493046,10.83330869,10.53964351
Trbj,0,0,0,0,0,0,1.807354922
