,B cell,Dendritic cell,Macrophage,Monocyte,Neutrophil,T cell
Cxcr2,3.738300805,0,4.189142917,0,6.8287846,3.30773119
Cxcr6,0,0,0,0,2.176682368,5.599250681
Dpep2,0,0,5.553883032,0,2.176682368,1.988178969
Ear1,4.286771649,0,4.584271389,0,8.547817785,0
Ear2,4.683211247,5.745010823,8.255489881,6.080373416,8.124995011,4.089476021
F730016J06Rik,0,0,0,0,5.178366775,0
Fcer1a,0,0,0,0,5.312243831,0.672173497
Fcer2a,2.842544351,0,0,0,2.176682368,5.146547903
Fcgr4,3.738300805,0,4.584271389,0,5.841420387,3.546276216
Fcmr,5.249332964,0,2.754273197,0,2.176682368,6.776174295
Fcrl1,4.683211247,0,2.754273197,0,3.531491292,5.020324662
G430095P16Rik,2.842544351,0,4.894120843,5.506032031,2.176682368,3.471060067
Gapt,4.683211247,0,5.869655883,6.490070891,6.47618998,1.988178969
Gm13986,0,0,0,0,2.176682368,0
Gm20324,2.842544351,0,3.643192729,0,2.176682368,4.822715021
Gm8113,2.842544351,0,3.643192729,0,5.749987423,0
Gm9733,0,5.745010823,5.553883032,4.537434131,4.217667632,1.475300456
Gzma,0,0,2.754273197,0,3.007599816,7.440456408
Gzmb,0,0,0,0,0,3.471060067
I830127L07Rik,8.536714905,5.745010823,9.547138303,10.86702128,10.43912852,5.240133112
Ifi205,0,0,3.643192729,0,0,2.189296669
Ifitm6,7.441612171,9.042523386,8.91814356,8.93631076,11.32042715,6.220920079
Itga2b,0,0,0,0,3.531491292,1.128916028
Itgam,2.842544351,7.724693349,6.993637927,7.069673528,8.434921834,3.218565033
Itgax,2.842544351,0,0,0,0,2.793837238
Izumo1r,0,0,0,0,0,4.852656845
Klra13-ps,0,0,0,0,0,6.050543034
Klra7,0,0,0,0,0,4.852656845
Klra8,0,0,0,0,0,4.321285803
Klrc1,0,0,2.754273197,0,0,4.089476021
Klrd1,3.738300805,7.724693349,0,0,0,7.960414499
Klre1,0,0,0,0,0,3.872814149
Klrg1,2.842544351,0,0,0,0,4.404497276
Klri2,0,0,0,0,0,2.793837238
Klrk1,0,5.745010823,3.643192729,4.537434131,0,4.662908683
Lck,4.993864423,0,4.584271389,0,3.007599816,9.335622278
Ly6g,4.993864423,0,4.189142917,0,9.372803763,1.475300456
Lyz1,4.286771649,10.47375915,9.306480781,4.537434131,5.434745677,1.128916028
Mcemp1,5.654856992,7.311927528,7.921122744,8.799101701,9.76021626,5.430837169
Mfsd7a,0,0,4.189142917,5.506032031,3.007599816,0.672173497
Mmp25,0,0,0,0,5.652365299,0
Ms4a2,0,0,2.754273197,0,3.914995645,0.672173497
Ms4a4b,4.286771649,0,5.365618534,7.290530895,3.007599816,10.4985474
Mzb1,9.460872986,0,2.754273197,0,3.007599816,4.628707839
Ncr1,0,0,0,0,0,4.089476021
Nkg7,7.540594472,6.731497682,11.00332404,4.537434131,8.124995011,9.52881637
Nudt17,0,0,3.643192729,4.537434131,0,0.672173497
Olr1,0,0,4.894120843,4.537434131,4.217667632,0
Padi4,3.738300805,0,4.584271389,5.506032031,7.439084613,1.754411758
Prf1,0,0,0,0,0,5.284743454
Prg3,3.738300805,0,3.643192729,0,5.841420387,0
Prss57,5.4662968,0,9.266651935,0,6.956979383,0.672173497
Rab44,2.842544351,0,6.92706272,4.537434131,6.532150107,1.754411758
Rasgrp4,4.286771649,0,6.128572155,4.537434131,7.251799089,4.662908683
Retnlg,5.249332964,0,4.584271389,0,13.71512365,6.687580762
Rgs18,5.249332964,5.745010823,6.5384454,6.808785458,6.637951424,1.475300456
Sh2d1a,0,0,0,0,0,5.92933305
Sh2d2a,3.738300805,0,0,0,0,6.13824521
Siglecf,0,0,4.189142917,0,4.467720346,1.128916028
Skint3,0,5.745010823,4.894120843,0,2.176682368,1.475300456
Slamf8,0,0,3.643192729,0,0,1.128916028
Spib,8.799101701,8.307380588,4.584271389,4.537434131,3.531491292,4.363491388
Tal1,4.286771649,0,3.643192729,0,2.176682368,0.672173497
Tarm1,0,0,0,0,5.434745677,1.988178969
Tcf7,0,0,0,0,0,8.110462011
Tgtp2,2.842544351,5.745010823,4.189142917,0,0,5.684961874
Themis,0,0,0,0,2.176682368,5.390583598
Tlr13,0,0,5.149046272,5.506032031,4.217667632,2.189296669
Tlr5,0,0,0,0,2.176682368,0
Tnfrsf13c,5.654856992,0,0,0,2.176682368,3.617764461
Tnfrsf18,3.738300805,5.745010823,2.754273197,4.537434131,4.217667632,6.113726711
Tpsb2,0,0,0,0,0,0
Xlr4b,4.286771649,0,2.754273197,0,0,5.390583598
Zap70,0,0,0,0,2.176682368,6.602029718
9830107B12Rik,0,0,2.754273197,0,6.417971338,1.128916028
A530030E21Rik,0,0,0,0,0,2.189296669
Arhgef37,0,0,0,0,0,0.672173497
Camp,6.548322447,5.745010823,9.684466506,4.537434131,14.92199215,3.021774938
Cebpe,5.654856992,0,7.659278292,7.069673528,8.761878931,1.754411758
Gfi1b,0,0,0,0,2.176682368,0
Gm16194,0,0,0,0,2.176682368,0
Gm43291,6.344241104,0,2.754273197,0,2.176682368,3.021774938
Ngp,5.971046746,5.745010823,6.624994981,0,15.5367393,4.089476021
Pax5,5.654856992,0,0,0,0,3.985208515
Prg2,5.821596845,5.745010823,6.446370327,6.080373416,10.34071208,0.672173497
Ccr6,0,0,0,0,0,2.793837238
Clec4a4,0,0,2.754273197,0,0,0
Ear6,2.842544351,0,3.643192729,0,8.296366923,0.672173497
Epx,0,0,0,0,6.47618998,0.672173497
Tmigd3,0,0,0,0,0,0.672173497
4930430E12Rik,0,0,2.754273197,0,2.176682368,0
Trac,0,0,0,0,0,9.049258783
Trbc,3.738300805,0,0,0,2.176682368,11.19513851
Trbj,0,0,0,0,0,2.664766411
